super_opeid,female,par_mean,k_mean,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5,mr_q0
21519,0.61164331,61606.95203,29539.58835,www.keiseruniversity.edu,Keiser University,3,FL,33309,8,Nonselective four-year private not-for-profit,2,1,0,0,0,16039,16936,0.676744186,,22055,0.0669,29600,0.006480882,0.26960465,0.083927415,0.000648088,10.202287,15.039577,31.134565,0,9.0589266,31.66227,0,2.9023747,0.9331,0.610355228,0.069088347,0.317249118,0.670079118,,0.5439364,0.929063725,3.245855366,3.01206046,3.2277997,2.96508847,3.16857993,3.12304749
2276,0.57262999,77261.02735,32076.47098,www.kellogg.edu,Kellogg Community College,2,MI,49017,9,Two-year (public and private not-for-profit),1,2,1,0,0,6123,5255,0.152475248,,3552,,28800,0.011886792,0.073773585,0.019056603,0.003584906,1.3800424,7.5371552,36.518047,35.774948,8.0679407,6.9002123,0,3.821656,,0.571212511,0.02622262,0.083179705,0.13500051,,0.108735535,,3.355293063,3.07930544,2.94268472,2.82328251,2.69539521,2.92897861
1577,0.59569985,117402.3434,40928.10581,www.kennesaw.edu,Kennesaw State University,3,GA,30144,5,Selective public,1,1,1,0,0,22621,5914,0.425283286,1080,13046,0.4346,41300,0.025966436,0.085079737,0.022459714,0.028721716,5.2501545,31.562693,3.3353922,1.8529956,4.8177886,12.723904,40.457073,0,0.5654,0.594358888,0.097541575,0.096385059,0.413433457,0.428571429,0.332039703,0.539179293,2.8484735,2.6227684,2.78102121,2.65965801,2.61384107,2.66712309
3051,0.59103358,94457.12201,40439.63673,www.kent.edu,Kent State University,2,OH,44242,5,Selective public,1,1,1,0,0,41740,8056.5459,0.452845528,1050,12469.245,0.1698,36600,0.009967489,0.066209503,0.009399433,0.009054613,9.4550409,22.070847,10.681199,12.615804,5.2316079,13.378747,25.776567,0.79019076,0.8302,0.589677141,0.180190812,0.139318409,0.441563993,0.392097264,0.318474104,0.819955462,3.01140232,2.76885365,2.69559288,2.50692414,2.44717182,2.60966251
1965,0.53304595,83473.00723,31889.85185,www.kcc.edu,Kentucky Christian University,3,KY,41143,6,Selective private,2,1,0,0,0,559,16830,0.386503067,945,18738,0.48640001,28000,0.001757469,0.007029877,0.003514938,0.045694202,0,13.253012,0,1.2048193,45.783134,0,39.759037,0,0.51359999,0.53149718,0.002170088,0.31512504,0.373853646,0.26443769,0.465918713,0.484254034,3.383370055,2.85994773,3.042600349,2.88595266,2.74022696,2.91800582
1968,0.54618877,61212.63743,32159.07347,www.kysu.edu,Kentucky State University,3,KY,40601,5,Selective public,1,1,1,1,0,2370,7404,0.183908046,830,10939,0.62260002,26600,0.009863786,0.59840298,0.007515266,0.006575857,1.0238907,24.232082,10.921502,4.0955629,13.31058,21.16041,23.549488,1.7064847,0.37739998,0.544683592,0.009998833,0.126242385,0.167081408,0.124620061,0.282481889,0.339836674,3.06486385,2.97781777,2.8581613,2.798480455,2.759112135,2.90092379
1969,0.49659863,88167.26364,46655.01517,www.kwc.edu,Kentucky Wesleyan College,3,KY,42301,6,Selective private,2,1,0,0,0,657,22030,0.378571429,962,13185,0.329,36600,0,0.044117648,0.001470588,0.007352941,6.25,13.28125,16.40625,3.125,3.125,14.0625,43.75,0,0.671,0.494928974,0.002593731,0.419325104,0.365758468,0.285106383,0.33530906,0.651150454,3.03858879,2.7098741,2.675494582,2.201791594,2.260021985,2.45505494
3065,0.55638474,360158.4906,65627.21874,www.kenyon.edu/,Kenyon College,2,OH,43022,2,Other elite schools (public and private),2,1,0,0,0,1705,47330,0.890829694,1325,8546,0.61619997,43700,0.027517198,0.036272671,0.026891807,0.020637898,41.597797,0,0,6.060606,0,12.396694,39.944904,0,0.38380003,0.554913379,0.007124114,0.926298493,0.88857876,0.726443769,0.226197196,0.346622858,2.76338583,2.432584119,2.34571686,2.33438764,2.23613549,2.28076292
13,0.51299232,77913.88572,35529.0356,,Kern & North Orange County Community College Districts,4,CA,92832,9,Two-year (public and private not-for-profit),1,2,1,0,0,66285,1208.8118,0.211714324,,3978.863,,31056.021,0.14748652,0.046004541,0.27446648,0.004759623,3.2716928,13.342816,12.147938,43.641537,7.4253201,7.2830725,5.0924611,7.7951636,,0.511377037,0.286296023,0.002100269,0.195461011,,0.11877559,,3.09112654,2.95037525,2.87740615,2.83130448,2.69981142,2.88224199
2262,0.17861886,118244.3909,85388.95225,WWW.KETTERING.EDU,Kettering University,2,MI,48504,4,Highly selective private,2,1,0,0,0,1684,36980,0.607792208,1210,26542,0.38409999,74900,0.041033436,0.07180851,0.016337385,0.055851065,0,6.2992125,0,0,0,93.700783,0,0,0.61590001,0.175894544,0.007033334,0.718900289,0.599705449,0.58662614,0.64947314,0.592726118,1.534487674,1.573569163,1.417543249,1.366473455,1.398052897,1.413180195
2744,0.69565219,72568.87699,42738.32154,www.keuka.edu,Keuka College,1,NY,14478,6,Selective private,2,1,0,0,0,1830,28010,0.481751825,,22349,0.1222,43300,0.007352941,0.043067228,0.023109244,0.007352941,2.366864,11.242603,38.46154,0,7.6923075,2.95858,37.278107,0,0.8778,0.694642745,0.007664475,0.539155178,0.471066295,,0.550851444,0.870427311,2.580396985,2.399600065,2.38751595,2.286079966,2.134456676,2.34174779
3280,0.5160839,73812.28425,31921.51899,www.keystone.edu,Keystone College,1,PA,18440,6,Selective private,2,1,0,0,0,1574,21900,0.464114833,920,12065,0.27950001,31400,0.00409836,0.036065575,0.015573771,0.014754098,14.070352,18.592964,9.0452261,11.557789,6.0301509,14.070352,20.100502,6.5326633,0.72049999,0.514478871,0.006557816,0.416720103,0.453065654,0.234042553,0.308966036,0.703636925,3.259140493,3.01290204,2.86594275,2.72214682,2.71471388,2.90373183
9204,0.54504502,41781.63932,25526.0319,www.kavts.tec.ok.us,Kiamichi Technology Center,3,OK,74501,12,Less than two-year schools of any type,1,3,1,0,0,1202,,,,4415.7783,,22100,0.003177966,0.084745765,0.020127119,0,0,31.175468,41.567291,0,0,0.17035775,0,27.086882,,0.543536048,0.004949703,,,,0.129052082,,3.647807052,3.27074675,3.24229198,3.0318805,2.579661681,3.37637999
