super_opeid,female,par_mean,k_mean,name,region,state,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,enrollment_norm,price_norm,grad_norm,sat_norm,female_norm,netprice_norm
2656,0.12093023,104242.987,56607.40104,New Mexico Military Institute,4,NM,88201,9,Two-year (public and private not-for-profit),1,2,1,999,6267.9624,12435.122,0,0,470,451,4536,2131,0.425076453,0.384057971,940,,3924,0.58139998,39100,605089.56,6049025,3208316,0.088691793,0.15742794,0.172949,0.050997782,0,0,0,100,0,0,0,0,0.001785351,0.068772042,0.413222359,0.258358663,0.118014576,0.117485182
2657,0.53544509,72136.26509,39274.29933,New Mexico State University,4,NM,88003,5,Selective public,1,1,1,5,3660.3848,4522.8848,0,0,27708,22962,3934.9253,2149.7021,,,957.5,,6710.085,0.148,33800,,,,0.014642692,0.026748193,0.43717268,0.013343686,5.2927928,20.870871,7.8453455,17.154654,7.2447448,23.31081,17.68018,0.6006006,0.119532091,0.056727423,,0.279635258,0.533904278,0.183015453
5223,0.44015661,86112.28781,32729.0077,New River Community College,3,VA,24084,9,Two-year (public and private not-for-profit),1,2,1,999,2190.3813,2451.6541,0,0,4808,3692,3325,1183,0.24137931,0.151639344,,,4922,,30000,,12779450,7164287,0.014355363,0.027627302,0.008667389,0.011646803,0,37.577641,21.73913,19.565218,4.0372672,13.975155,0.62111801,2.484472,0.020538026,0.04450545,0.225737646,,0.43829975,0.140958698
20662,0.64910251,255928.3886,44456.63543,"New School, The",1,NY,10011,8,Nonselective four-year private,2,1,0,999,6701.5513,9824.3975,0,0,6777,7867,41219,20830,0.645898235,0.502717391,1115,,28398,0.33410001,39400,,102073000,50703604,0.10998736,0.047619049,0.06068268,0.20438264,64.835167,0,0,25.164835,6.4835167,3.5164838,0,0,0.029049787,0.803843379,0.638597168,0.47112462,0.647938671,0.693127293
2696,0.4450168,44382.75899,39930.48504,New York City College Of Technology Of The City University Of New,1,NY,11201,5,Selective public,1,1,1,5,3347.8982,5951.1328,0,0,16860,11028,6369,3319,,,,,4716,0.23199999,37700,,,,0.11534277,0.47515416,0.26441786,0.022669569,3.8255546,26.396328,14.766642,5.7383323,10.328998,32.287682,1.6832441,4.9732213,0.072637435,0.105502565,,,0.44317606,0.136113463
2782,0.374477,109147.5257,58599.5069,New York Institute Of Technology,1,NY,11568,6,Selective private,2,1,0,3,8532.9619,11993.791,0,0,4456,5898,32180,,,,1065,,19148,0.25929999,49400,,,,0.11795544,0.096985586,0.05668414,0.072083883,8.2781458,19.536425,13.576159,10.596026,0,32.450333,14.238411,1.3245033,0.019016371,0.622715614,,0.410334347,0.372402297,0.475562141
2785,0.59816337,294568.5741,88411.62978,New York University,1,NY,10012,2,Other elite schools (public and private),2,1,0,1,17943.02,24871.623,0,0,24770,40209,46170,24136.98,0.814146983,0.754941193,1345,1317.3922,25062.287,0.69671321,58800,,1012125438,658655321.2,0.16008358,0.064998835,0.067546904,0.047481559,21.435654,18.560381,4.5012889,15.665279,1.4673805,12.373588,25.996429,0,0.106831455,0.903053863,0.810314962,0.750759878,0.596830579,0.614669466
3440,0.44494382,104293.1713,38465.39965,Newberry College,3,SC,29108,6,Selective private,2,1,0,5,4548.2734,5416.6431,0,0,1039,724,24075,14632,0.445820433,0.551282051,940,970,18405,0.40920001,33300,,5332150,2752853.5,0.004143647,0.19060774,0.011049724,0.009668508,11.92053,17.218542,1.3245033,9.2715235,0,11.92053,48.344368,0,0.004245073,0.460303783,0.43439405,0.258358663,0.443102838,0.458086367
1939,0.61538464,126922.1667,49570.56771,Newman University,2,KS,67213,6,Selective private,2,1,0,4,3326.1743,2883.998,0,0,2795,1967,24710,10268,0.518796992,0.458333333,990,885,16206,0.5528,41900,,8366413,6206060,0.01669878,0.055234425,0.039177906,0.026332691,2.1875,27.5,29.6875,2.5,5.625,5.3125,27.1875,0,0.011836059,0.473028214,0.508875281,0.319148936,0.614108967,0.406364663
2874,0.50863421,77415.73787,33488.00122,Niagara County Community College,1,NY,14132,9,Two-year (public and private not-for-profit),1,2,1,999,3534.0735,3625.592,0,0,6630,4641,4274,2605,0.259054635,0.289940828,,,2359,,31000,,23001415,16488625,0.006248653,0.05882353,0.010342599,0.008618833,2.9213483,16.292135,17.75281,32.696629,10.11236,8.8764048,4.719101,6.6292133,0.028414323,0.063521962,0.243777411,,0.507004473,0.08067551
2788,0.58451176,115038.437,50323.59811,Niagara University,1,NY,14109,6,Selective private,2,1,0,4,4018.0752,6377.8779,0,0,3227,3146,29060,14560,0.651289009,0.563636364,1035,1045,12372,0.33669999,44000,,25389683,12071339,0.007682976,0.040841084,0.019409625,0.048119694,5.8577404,32.217575,9.4142256,0.41841003,7.3221755,6.2761502,38.493725,0,0.013703545,0.560195576,0.644099092,0.373860182,0.58313369,0.316186847
2005,0.59549314,82153.84375,44280.84896,Nicholls State University,3,LA,70310,5,Selective public,1,1,1,4,2572.0454,4387.8462,0,0,5888,7326,7234,2368,0.426245211,0.263904035,1055,,7770,0.13060001,35000,807.17499,32067502,19510876,0.005796217,0.15070164,0.012050031,0.009151922,2.1929824,27.083334,15.789474,13.048245,3.1798246,11.951755,25.438597,1.3157895,0.025206742,0.122835845,0.414415215,0.398176292,0.594151492,0.207945244
2197,0.37612614,116099.6927,56947.76302,Nichols College,1,MA,1571,6,Selective private,2,1,0,5,2735.1558,4390.1543,0,0,1281,1380,32370,15650,0.46559633,0.455958549,,935,23877,0.1953,47100,,5959985,3311941.5,0.009425879,0.029134532,0.018851757,0.007712083,1.0582011,88.888885,0,2.6455026,2.1164021,0,5.2910051,0,0.005291211,0.626522924,0.454577698,,0.374056907,0.586790855
5384,0.55291003,70251.93836,29818.8204,Nicolet Area Technical College,2,WI,54501,9,Two-year (public and private not-for-profit),1,2,1,999,5209.4629,9270.0791,0,0,1271,1415,4466,2078,0.293680297,0.176829268,,,7009,,26400,,13255547,8787365,0.004240283,0,0.003533569,0,0,24.482759,51.379311,3.1034484,3.4482758,8.2758617,0,9.3103447,0.005247982,0.067369349,0.279117004,,0.551427145,0.1900461
3765,0.60959834,57969.45947,36633.42487,Norfolk State University,3,VA,23504,5,Selective public,1,1,1,5,4057.3682,5442.251,1,0,6021,6668,7552,2856,0.375592417,0.278877888,870,791,10139,0.35010001,34400,,37419411,27781744,0.006621392,0.90390491,0.012733446,0.005772496,5.0925922,14.00463,11.458333,25.462963,6.25,12.731482,25,0,0.025781686,0.12920808,0.362718034,0.17325228,0.608303476,0.263665444
12261,0.54527164,56690.36981,27957.37248,North Arkansas College,3,AR,72601,9,Two-year (public and private not-for-profit),1,2,1,999,2931.5981,3501.6619,0,0,2167,1817,2472,1212,0.237791932,0.26342711,,,3763,,25500,56.837643,8435166,5657292,0.003852504,0.003302146,0.010456797,0,0,22.945206,29.794521,30.479452,0,2.3972602,0,14.383562,0.009121287,0.027412632,0.222076302,,0.54376342,0.113698372
2905,0.51628309,66564.58796,39435.81197,North Carolina Agricultural & Technical State University,3,NC,27411,5,Selective public,1,1,1,5,5064.7188,7681.4585,1,0,8872,7748,5642,1939,0.428935628,0.402132521,910,890,6743,0.30360001,33600,1378.8589,78917210,40926112,0.006277372,0.91708028,0.00379562,0.006423358,6.590909,15.90909,7.9545455,0.90909094,2.7272727,41.25,24.659092,0,0.038106231,0.090934594,0.417161105,0.221884498,0.514678722,0.183789632
2950,0.58376694,60995.51342,33960.20153,North Carolina Central University,3,NC,27707,5,Selective public,1,1,1,5,6005.4736,8656.9619,1,0,6220,5476,5526,1975,0.397249191,0.488986784,885,865,8699,0.49669999,31600,3876.9648,75215566,32828692,0.004929751,0.88982004,0.005669214,0.016514666,8.3464565,24.251968,9.9212599,3.6220472,8.031496,11.968504,33.858269,0,0.02664194,0.088610131,0.384821339,0.191489362,0.582386399,0.229795842
