,super_opeid,female,par_mean,k_mean,mr_kq5_pq1,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,Unnamed: 0,mr_q0,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
1393,2791,0.59507388,104767.8294,68356.63618,0.084326468,www.pace.edu,Pace University,1,NY,10038,6,Selective private,2,1,0,0,0,8289,39697.0,0.514638907,1050.0,19651.0,0.2317,58400.0,0.15186794,0.1397046,0.12250217,0.060469157999999995,4.842342400000001,54.842342,4.842342400000001,3.3783784,2.0270271,14.189189,15.878378,0.0,0.7683,0.5937308410000001,0.035585989,0.773344822,0.504631462,0.392097264,0.487392981,0.754320852,1383,-9895.8474231,-119365.6400871,-41202.358774,-9280.270218799998,11607.675954200002,25844.1377069
1394,3785,0.62100184,140269.5448,52202.70371,0.009419545999999999,www.plu.edu,Pacific Lutheran University,4,WA,98447,6,Selective private,2,1,0,0,0,3142,36530.0,0.704481793,1095.0,17051.0,0.2324,45900.0,0.048660300999999996,0.024638128,0.022174316,0.08192177099999999,14.334863,15.825688000000001,7.798165299999999,6.766055099999999,1.6055046,16.857798000000003,36.811928,0.0,0.7676,0.6197447979999999,0.013336099999999998,0.709882975,0.6983886340000001,0.446808511,0.42623953299999995,0.7535786179999999,1384,-6689.418406000002,-103866.2468036,-43268.219549,-750.0784399999976,16876.493232300007,26774.8402
1395,1258,0.53648067,175658.9375,57674.84375,0.027723917999999997,www.puc.edu,Pacific Union College,4,CA,94508,6,Selective private,2,1,0,0,0,1645,28131.0,0.44888888899999996,995.0,18430.0,0.49450001,48600.0,0.19249147,0.055972695,0.094880544,0.08122866599999999,15.954416,21.367521,29.059829999999998,3.133903,3.7037036,11.396011,15.384615,0.0,0.50549999,0.534943292,0.006864741,0.541579833,0.43752577299999995,0.325227964,0.458674381,0.475665337,1385,-2710.121458000001,-118137.22844100001,-43737.6379307,-1396.745825,18722.449196,37383.389657
1396,3212,0.62083334,104811.5421,51289.51927,0.01356675,www.pacificu.edu,Pacific University,4,OR,97116,6,Selective private,2,1,0,0,0,1785,38510.0,0.615591398,1090.0,21341.0,0.1381,42300.0,0.17153284,0.006386861,0.020072993,0.010948905,21.890547,13.930348,2.9850745,9.9502487,6.4676619,21.890547,22.885572,0.0,0.8619,0.619575739,0.007469945,0.7495591540000001,0.607665447,0.440729483,0.527142723,0.8535680170000001,1386,-5407.591811000002,-106501.060398,-31806.342104000003,-3459.445770999999,12029.244356000001,31491.430721200002
1397,1587,0.70738637,51830.06641,32823.11523,0.020358527,www.paine.edu,Paine College,3,GA,30901,6,Selective private,2,1,0,1,0,924,13332.0,0.209302326,760.0,13763.0,0.56230003,25900.0,0.0,0.99386501,0.0,0.0,5.102040799999999,16.326529999999998,0.0,2.0408163,0.0,13.265305999999999,63.265305000000005,0.0,0.43769997,0.706415844,0.003747941,0.245030458,0.19299928100000002,0.039513677999999997,0.348903942,0.403774741,1387,5782.254566999999,-98451.9971214,-28394.006212,2158.3096229999983,25723.9812665,37853.65387212001
1398,8849,0.65927976,179931.6458,43633.43099,0.015135125,www.pba.edu,Palm Beach Atlantic University,3,FL,33401,6,Selective private,2,1,0,0,0,2887,26274.0,0.477541371,1044.0,18750.0,0.15880001,38100.0,0.011710795,0.11048879,0.079429738,0.036659878,13.774104999999999,47.382919,0.0,3.8567492999999997,0.0,5.2341595000000005,29.752067999999998,0.0,0.84119999,0.658149676,0.012233764,0.5043683870000001,0.466769028,0.384802432,0.46620096,0.8316191140000001,1388,5667.592186999999,-104942.134126,-24190.813513,7061.968837,25392.036643000003,43017.806149000004
1399,1512,0.53040946,87478.26125,33655.05086,0.019405609,www.pbcc.edu/,Palm Beach State College,3,FL,33461,7,Nonselective four-year public,1,1,1,0,0,29763,2378.0,,,1710.0,,31500.0,0.027069144,0.17459309,0.12472585,0.034341451,0.22311468,10.48639,17.715304999999997,65.015617,4.8639002,0.80321288,0.0,0.89245874,,0.528851946,0.128415619,0.025529016,,,0.065410669,,1389,12313.300717000002,-91021.678169,-21503.633493,12402.224433,30973.641472000007,48326.91908400001
1400,1260,0.45484889,94223.16822,37108.57361,0.020778358,WWW.PALOMAR.EDU,Palomar College,4,CA,92069,9,Two-year (public and private not-for-profit),1,2,1,0,0,24665,1336.0,0.254270376,,5325.0,,31700.0,0.080001898,0.032523029,0.17619409,0.01557307,1.7469879000000001,8.8554211,10.421687,42.710842,5.3614459000000005,9.6987953,3.0722892,18.13253,,0.45304076,0.10637755199999999,0.004648925999999999,0.238894507,,0.15043748199999998,,1390,11721.961586000005,-92524.021013,-20584.161153,13183.727525999995,30358.46136,47709.102581
1401,3600,0.58783782,68149.20969,35761.60373,0.019819135,www.panola.edu,Panola College,3,TX,75633,9,Two-year (public and private not-for-profit),1,2,1,0,0,2699,2832.0,0.200542005,,7675.0,,29400.0,0.005617978,0.18398876,0.023876404,0.0014044939999999998,0.0,2.3178808999999996,44.039734,31.788079999999997,0.0,9.2715235,0.0,12.582782,,0.586470781,0.011421062,0.034626483,0.184058335,,0.205710791,,1391,13357.675538,-80185.2846798,-20319.835601,14473.506900000006,24879.757338000003,40219.348658999996
1402,3601,0.56021571,64953.113710000005,31104.77062,0.019797949,parisjc.edu,Paris Junior College,3,TX,75460,9,Two-year (public and private not-for-profit),1,2,1,0,0,5301,2292.0,0.19038817,,5857.0,,26400.0,0.010197145,0.13188307,0.025152957000000004,0.001699524,0.94936711,17.405064000000003,34.493671,7.911392200000001,0.94936711,8.544303900000001,10.759494,18.987341,,0.558757056,0.022669209,0.023805707000000002,0.173695143,,0.162950419,,1392,15066.482255999998,-82882.181856,-17891.116536,12899.256253,30869.565406000005,49005.24868199999
